nvar,r,d,prop_Hacker,prop_H1,het,iter,alpha,strategy,p1,p2,p3,p4,p5
2,0.6,0.3,0.2,0.1,0,1000,0.05,1,41.9354838709678,14.5161290322581,14.5161290322581,11.2903225806452,17.741935483871
2,0.6,0.3,0.2,0.1,0,1000,0.05,2,41.9354838709678,14.5161290322581,14.5161290322581,11.2903225806452,17.741935483871
2,0.6,0.3,0.2,0.1,0,1000,0.05,3,41.9354838709678,14.5161290322581,14.5161290322581,11.2903225806452,17.741935483871
5,0.6,0.3,0.2,0.1,0,1000,0.05,1,38.2352941176471,13.7254901960784,15.6862745098039,18.6274509803922,13.7254901960784
5,0.6,0.3,0.2,0.1,0,1000,0.05,2,38.2352941176471,13.7254901960784,15.6862745098039,18.6274509803922,13.7254901960784
5,0.6,0.3,0.2,0.1,0,1000,0.05,3,33.3333333333333,13.7254901960784,17.6470588235294,20.5882352941176,14.7058823529412
10,0.6,0.3,0.2,0.1,0,1000,0.05,1,26.1682242990654,19.6261682242991,23.3644859813084,14.9532710280374,15.8878504672897
10,0.6,0.3,0.2,0.1,0,1000,0.05,2,26.1682242990654,19.6261682242991,23.3644859813084,14.9532710280374,15.8878504672897
10,0.6,0.3,0.2,0.1,0,1000,0.05,3,21.4953271028037,16.8224299065421,22.4299065420561,19.6261682242991,19.6261682242991
50,0.6,0.3,0.2,0.1,0,1000,0.05,1,31.6770186335404,19.8757763975155,19.2546583850932,18.0124223602484,11.1801242236025
50,0.6,0.3,0.2,0.1,0,1000,0.05,2,31.6770186335404,19.8757763975155,19.2546583850932,18.0124223602484,11.1801242236025
50,0.6,0.3,0.2,0.1,0,1000,0.05,3,18.0124223602484,18.6335403726708,18.6335403726708,21.7391304347826,22.9813664596273
2,0.9,0.3,0.2,0.1,0,1000,0.05,1,33.3333333333333,17.2413793103448,19.5402298850575,16.0919540229885,13.7931034482759
2,0.9,0.3,0.2,0.1,0,1000,0.05,2,33.3333333333333,17.2413793103448,19.5402298850575,16.0919540229885,13.7931034482759
2,0.9,0.3,0.2,0.1,0,1000,0.05,3,32.183908045977,18.3908045977012,19.5402298850575,16.0919540229885,13.7931034482759
5,0.9,0.3,0.2,0.1,0,1000,0.05,1,22.2222222222222,14.4444444444444,20,18.8888888888889,24.4444444444444
5,0.9,0.3,0.2,0.1,0,1000,0.05,2,22.2222222222222,14.4444444444444,20,18.8888888888889,24.4444444444444
5,0.9,0.3,0.2,0.1,0,1000,0.05,3,21.1111111111111,13.3333333333333,21.1111111111111,18.8888888888889,25.5555555555556
10,0.9,0.3,0.2,0.1,0,1000,0.05,1,31.7307692307692,21.1538461538462,19.2307692307692,14.4230769230769,13.4615384615385
10,0.9,0.3,0.2,0.1,0,1000,0.05,2,31.7307692307692,21.1538461538462,19.2307692307692,14.4230769230769,13.4615384615385
10,0.9,0.3,0.2,0.1,0,1000,0.05,3,26.9230769230769,15.3846153846154,18.2692307692308,18.2692307692308,21.1538461538462
50,0.9,0.3,0.2,0.1,0,1000,0.05,1,28.0898876404494,15.7303370786517,21.3483146067416,15.7303370786517,19.1011235955056
50,0.9,0.3,0.2,0.1,0,1000,0.05,2,28.0898876404494,15.7303370786517,21.3483146067416,15.7303370786517,19.1011235955056
50,0.9,0.3,0.2,0.1,0,1000,0.05,3,15.7303370786517,8.98876404494382,21.3483146067416,23.5955056179775,30.3370786516854
2,0,0.4,0.2,0.1,0,1000,0.05,1,37.7777777777778,17.7777777777778,20,16.6666666666667,7.77777777777778
2,0,0.4,0.2,0.1,0,1000,0.05,2,37.7777777777778,17.7777777777778,20,16.6666666666667,7.77777777777778
2,0,0.4,0.2,0.1,0,1000,0.05,3,37.7777777777778,17.7777777777778,20,15.5555555555556,8.88888888888889
5,0,0.4,0.2,0.1,0,1000,0.05,1,41.8032786885246,15.5737704918033,15.5737704918033,13.1147540983607,13.9344262295082
5,0,0.4,0.2,0.1,0,1000,0.05,2,41.8032786885246,15.5737704918033,15.5737704918033,13.1147540983607,13.9344262295082
5,0,0.4,0.2,0.1,0,1000,0.05,3,40.1639344262295,15.5737704918033,16.3934426229508,13.9344262295082,13.9344262295082
10,0,0.4,0.2,0.1,0,1000,0.05,1,37.2413793103448,17.2413793103448,14.4827586206897,14.4827586206897,16.551724137931
10,0,0.4,0.2,0.1,0,1000,0.05,2,37.2413793103448,17.2413793103448,14.4827586206897,14.4827586206897,16.551724137931
10,0,0.4,0.2,0.1,0,1000,0.05,3,32.4137931034483,17.2413793103448,14.4827586206897,17.2413793103448,18.6206896551724
50,0,0.4,0.2,0.1,0,1000,0.05,1,46.4684014869888,20.817843866171,17.1003717472119,9.66542750929368,4.08921933085502
50,0,0.4,0.2,0.1,0,1000,0.05,2,46.4684014869888,20.817843866171,17.1003717472119,9.66542750929368,4.08921933085502
50,0,0.4,0.2,0.1,0,1000,0.05,3,28.6245353159851,20.817843866171,17.1003717472119,17.4721189591078,14.8698884758364
2,0.3,0.4,0.2,0.1,0,1000,0.05,1,37.7551020408163,11.2244897959184,19.3877551020408,14.2857142857143,17.3469387755102
2,0.3,0.4,0.2,0.1,0,1000,0.05,2,37.7551020408163,11.2244897959184,19.3877551020408,14.2857142857143,17.3469387755102
2,0.3,0.4,0.2,0.1,0,1000,0.05,3,36.734693877551,11.2244897959184,19.3877551020408,15.3061224489796,17.3469387755102
5,0.3,0.4,0.2,0.1,0,1000,0.05,1,35.0877192982456,24.5614035087719,14.9122807017544,14.0350877192982,10.5263157894737
5,0.3,0.4,0.2,0.1,0,1000,0.05,2,35.0877192982456,24.5614035087719,14.9122807017544,14.0350877192982,10.5263157894737
5,0.3,0.4,0.2,0.1,0,1000,0.05,3,30.7017543859649,24.5614035087719,16.6666666666667,15.7894736842105,11.4035087719298
10,0.3,0.4,0.2,0.1,0,1000,0.05,1,39.0728476821192,21.1920529801325,13.2450331125828,15.2317880794702,10.5960264900662
10,0.3,0.4,0.2,0.1,0,1000,0.05,2,39.0728476821192,21.1920529801325,13.2450331125828,15.2317880794702,10.5960264900662
10,0.3,0.4,0.2,0.1,0,1000,0.05,3,33.7748344370861,17.2185430463576,13.9072847682119,18.5430463576159,15.8940397350993
50,0.3,0.4,0.2,0.1,0,1000,0.05,1,42.1487603305785,18.1818181818182,13.6363636363636,11.9834710743802,12.8099173553719
50,0.3,0.4,0.2,0.1,0,1000,0.05,2,42.1487603305785,18.1818181818182,13.6363636363636,11.9834710743802,12.8099173553719
50,0.3,0.4,0.2,0.1,0,1000,0.05,3,27.2727272727273,18.1818181818182,14.8760330578512,17.7685950413223,21.0743801652893
2,0.6,0.4,0.2,0.1,0,1000,0.05,1,36.5591397849462,15.0537634408602,19.3548387096774,16.1290322580645,11.8279569892473
2,0.6,0.4,0.2,0.1,0,1000,0.05,2,36.5591397849462,15.0537634408602,19.3548387096774,16.1290322580645,11.8279569892473
2,0.6,0.4,0.2,0.1,0,1000,0.05,3,36.5591397849462,13.9784946236559,19.3548387096774,17.2043010752688,11.8279569892473
5,0.6,0.4,0.2,0.1,0,1000,0.05,1,43.4782608695652,13.9130434782609,13.0434782608696,16.5217391304348,11.304347826087
5,0.6,0.4,0.2,0.1,0,1000,0.05,2,43.4782608695652,13.9130434782609,13.0434782608696,16.5217391304348,11.304347826087
5,0.6,0.4,0.2,0.1,0,1000,0.05,3,40.8695652173913,13.0434782608696,12.1739130434783,19.1304347826087,13.0434782608696
10,0.6,0.4,0.2,0.1,0,1000,0.05,1,41.7322834645669,15.748031496063,16.5354330708661,11.8110236220472,14.1732283464567
10,0.6,0.4,0.2,0.1,0,1000,0.05,2,41.7322834645669,15.748031496063,16.5354330708661,11.8110236220472,14.1732283464567
10,0.6,0.4,0.2,0.1,0,1000,0.05,3,32.2834645669291,17.3228346456693,18.8976377952756,14.1732283464567,17.3228346456693
50,0.6,0.4,0.2,0.1,0,1000,0.05,1,41.7112299465241,18.716577540107,13.903743315508,16.5775401069519,9.09090909090909
50,0.6,0.4,0.2,0.1,0,1000,0.05,2,41.7112299465241,18.716577540107,13.903743315508,16.5775401069519,9.09090909090909
50,0.6,0.4,0.2,0.1,0,1000,0.05,3,27.807486631016,13.903743315508,16.0427807486631,21.9251336898396,20.3208556149733
2,0.9,0.4,0.2,0.1,0,1000,0.05,1,28.5714285714286,13.0952380952381,26.1904761904762,13.0952380952381,17.8571428571429
2,0.9,0.4,0.2,0.1,0,1000,0.05,2,28.5714285714286,13.0952380952381,26.1904761904762,13.0952380952381,17.8571428571429
2,0.9,0.4,0.2,0.1,0,1000,0.05,3,28.5714285714286,11.9047619047619,25,14.2857142857143,19.0476190476191
5,0.9,0.4,0.2,0.1,0,1000,0.05,1,40,7.61904761904762,24.7619047619048,12.3809523809524,14.2857142857143
