nvar,r,d,prop_Hacker,prop_H1,het,iter,alpha,strategy,p1,p2,p3,p4,p5,k_sig,k
150,0.6,0,0.1,0,0,10000,0.05,1,0.312551953449709,0.206982543640898,0.187032418952618,0.152950955943475,0.1404821280133,1203,10000
150,0.6,0,0.1,0,0,10000,0.05,2,0.312551953449709,0.206982543640898,0.187032418952618,0.152950955943475,0.1404821280133,1203,10000
150,0.6,0,0.1,0,0,10000,0.05,3,0.14879467996675,0.173732335827099,0.211138819617623,0.230257689110557,0.236076475477972,1203,10000
2,0.9,0,0.1,0,0,10000,0.05,1,0.183044315992293,0.213872832369942,0.194605009633911,0.186897880539499,0.221579961464355,519,10000
2,0.9,0,0.1,0,0,10000,0.05,2,0.183044315992293,0.213872832369942,0.194605009633911,0.186897880539499,0.221579961464355,519,10000
2,0.9,0,0.1,0,0,10000,0.05,3,0.179190751445087,0.215799614643545,0.194605009633911,0.186897880539499,0.223506743737958,519,10000
5,0.9,0,0.1,0,0,10000,0.05,1,0.180232558139535,0.201550387596899,0.191860465116279,0.191860465116279,0.234496124031008,516,10000
5,0.9,0,0.1,0,0,10000,0.05,2,0.180232558139535,0.201550387596899,0.191860465116279,0.191860465116279,0.234496124031008,516,10000
5,0.9,0,0.1,0,0,10000,0.05,3,0.156976744186047,0.197674418604651,0.186046511627907,0.205426356589147,0.253875968992248,516,10000
10,0.9,0,0.1,0,0,10000,0.05,1,0.214527027027027,0.190878378378378,0.184121621621622,0.206081081081081,0.204391891891892,592,10000
10,0.9,0,0.1,0,0,10000,0.05,2,0.214527027027027,0.190878378378378,0.184121621621622,0.206081081081081,0.204391891891892,592,10000
10,0.9,0,0.1,0,0,10000,0.05,3,0.173986486486487,0.184121621621622,0.190878378378378,0.206081081081081,0.244932432432432,592,10000
30,0.9,0,0.1,0,0,10000,0.05,1,0.224555735056543,0.219709208400646,0.193861066235864,0.192245557350565,0.169628432956381,619,10000
30,0.9,0,0.1,0,0,10000,0.05,2,0.224555735056543,0.219709208400646,0.193861066235864,0.192245557350565,0.169628432956381,619,10000
30,0.9,0,0.1,0,0,10000,0.05,3,0.180936995153473,0.187399030694669,0.187399030694669,0.229402261712439,0.21486268174475,619,10000
70,0.9,0,0.1,0,0,10000,0.05,1,0.250363901018923,0.193595342066958,0.174672489082969,0.219796215429403,0.161572052401747,687,10000
70,0.9,0,0.1,0,0,10000,0.05,2,0.250363901018923,0.193595342066958,0.174672489082969,0.219796215429403,0.161572052401747,687,10000
70,0.9,0,0.1,0,0,10000,0.05,3,0.168850072780204,0.157205240174673,0.190684133915575,0.244541484716157,0.238719068413392,687,10000
150,0.9,0,0.1,0,0,10000,0.05,1,0.225757575757576,0.2,0.178787878787879,0.183333333333333,0.212121212121212,660,10000
150,0.9,0,0.1,0,0,10000,0.05,2,0.225757575757576,0.2,0.178787878787879,0.183333333333333,0.212121212121212,660,10000
150,0.9,0,0.1,0,0,10000,0.05,3,0.154545454545455,0.156060606060606,0.16969696969697,0.209090909090909,0.310606060606061,660,10000
2,0,0,0.25,0,0,10000,0.05,1,0.197183098591549,0.209702660406886,0.209702660406886,0.211267605633803,0.172143974960876,639,10000
2,0,0,0.25,0,0,10000,0.05,2,0.197183098591549,0.209702660406886,0.209702660406886,0.211267605633803,0.172143974960876,639,10000
2,0,0,0.25,0,0,10000,0.05,3,0.195618153364632,0.208137715179969,0.211267605633803,0.211267605633803,0.173708920187793,639,10000
5,0,0,0.25,0,0,10000,0.05,1,0.223175965665236,0.210300429184549,0.190987124463519,0.195278969957082,0.180257510729614,932,10000
5,0,0,0.25,0,0,10000,0.05,2,0.223175965665236,0.210300429184549,0.190987124463519,0.195278969957082,0.180257510729614,932,10000
5,0,0,0.25,0,0,10000,0.05,3,0.208154506437768,0.206008583690987,0.19206008583691,0.198497854077253,0.195278969957082,932,10000
10,0,0,0.25,0,0,10000,0.05,1,0.228134110787172,0.192419825072886,0.205539358600583,0.192419825072886,0.181486880466472,1372,10000
10,0,0,0.25,0,0,10000,0.05,2,0.228134110787172,0.192419825072886,0.205539358600583,0.192419825072886,0.181486880466472,1372,10000
10,0,0,0.25,0,0,10000,0.05,3,0.190962099125364,0.189504373177843,0.2033527696793,0.206268221574344,0.209912536443149,1372,10000
30,0,0,0.25,0,0,10000,0.05,1,0.308626465661642,0.245812395309883,0.184673366834171,0.147403685092127,0.113484087102178,2388,10000
30,0,0,0.25,0,0,10000,0.05,2,0.308626465661642,0.245812395309883,0.184673366834171,0.147403685092127,0.113484087102178,2388,10000
30,0,0,0.25,0,0,10000,0.05,3,0.20142378559464,0.21105527638191,0.194723618090452,0.195561139028476,0.197236180904523,2388,10000
70,0,0,0.25,0,0,10000,0.05,1,0.482659992849482,0.247765462996067,0.142652842331069,0.0793707543796925,0.0475509474436897,2797,10000
70,0,0,0.25,0,0,10000,0.05,2,0.482659992849482,0.247765462996067,0.142652842331069,0.0793707543796925,0.0475509474436897,2797,10000
70,0,0,0.25,0,0,10000,0.05,3,0.199499463711119,0.196996782266714,0.205934930282445,0.192348945298534,0.205219878441187,2797,10000
150,0,0,0.25,0,0,10000,0.05,1,0.700970200970201,0.176368676368676,0.0564795564795565,0.0377685377685378,0.0284130284130284,2886,10000
150,0,0,0.25,0,0,10000,0.05,2,0.700970200970201,0.176368676368676,0.0564795564795565,0.0377685377685378,0.0284130284130284,2886,10000
150,0,0,0.25,0,0,10000,0.05,3,0.190921690921691,0.203395703395703,0.195772695772696,0.207900207900208,0.202009702009702,2886,10000
2,0.3,0,0.25,0,0,10000,0.05,1,0.200680272108844,0.20578231292517,0.197278911564626,0.193877551020408,0.202380952380952,588,10000
2,0.3,0,0.25,0,0,10000,0.05,2,0.200680272108844,0.20578231292517,0.197278911564626,0.193877551020408,0.202380952380952,588,10000
2,0.3,0,0.25,0,0,10000,0.05,3,0.195578231292517,0.210884353741497,0.197278911564626,0.193877551020408,0.202380952380952,588,10000
5,0.3,0,0.25,0,0,10000,0.05,1,0.18640350877193,0.216008771929825,0.202850877192982,0.211622807017544,0.183114035087719,912,10000
5,0.3,0,0.25,0,0,10000,0.05,2,0.18640350877193,0.216008771929825,0.202850877192982,0.211622807017544,0.183114035087719,912,10000
5,0.3,0,0.25,0,0,10000,0.05,3,0.163377192982456,0.211622807017544,0.212719298245614,0.214912280701754,0.197368421052632,912,10000
10,0.3,0,0.25,0,0,10000,0.05,1,0.254755996691481,0.198511166253102,0.178660049627792,0.185277088502895,0.182795698924731,1209,10000
10,0.3,0,0.25,0,0,10000,0.05,2,0.254755996691481,0.198511166253102,0.178660049627792,0.185277088502895,0.182795698924731,1209,10000
10,0.3,0,0.25,0,0,10000,0.05,3,0.211745244003309,0.187758478081059,0.180314309346567,0.202646815550041,0.217535153019024,1209,10000
30,0.3,0,0.25,0,0,10000,0.05,1,0.298867552929591,0.213195470211718,0.199901526341704,0.158542589857213,0.129492860659774,2031,10000
30,0.3,0,0.25,0,0,10000,0.05,2,0.298867552929591,0.213195470211718,0.199901526341704,0.158542589857213,0.129492860659774,2031,10000
30,0.3,0,0.25,0,0,10000,0.05,3,0.183653372722797,0.188577055637617,0.224027572624323,0.20137863121615,0.202363367799114,2031,10000
70,0.3,0,0.25,0,0,10000,0.05,1,0.387990762124711,0.230177059276366,0.163972286374134,0.117782909930716,0.100076982294072,2598,10000
70,0.3,0,0.25,0,0,10000,0.05,2,0.387990762124711,0.230177059276366,0.163972286374134,0.117782909930716,0.100076982294072,2598,10000
70,0.3,0,0.25,0,0,10000,0.05,3,0.15473441108545,0.194380292532717,0.201693610469592,0.213240954580447,0.235950731331794,2598,10000
150,0.3,0,0.25,0,0,10000,0.05,1,0.530213063220398,0.218651763884038,0.126440796367447,0.072651065316102,0.0520433112120154,2863,10000
150,0.3,0,0.25,0,0,10000,0.05,2,0.530213063220398,0.218651763884038,0.126440796367447,0.072651065316102,0.0520433112120154,2863,10000
150,0.3,0,0.25,0,0,10000,0.05,3,0.159273489346839,0.186168354872511,0.207823960880196,0.21341250436605,0.233321690534405,2863,10000
2,0.6,0,0.25,0,0,10000,0.05,1,0.207578253706755,0.196046128500824,0.219110378912685,0.181219110378913,0.196046128500824,607,10000
2,0.6,0,0.25,0,0,10000,0.05,2,0.207578253706755,0.196046128500824,0.219110378912685,0.181219110378913,0.196046128500824,607,10000
2,0.6,0,0.25,0,0,10000,0.05,3,0.196046128500824,0.187808896210873,0.222405271828666,0.186161449752883,0.207578253706755,607,10000
5,0.6,0,0.25,0,0,10000,0.05,1,0.239470517448857,0.203369434416366,0.187725631768953,0.186522262334537,0.182912154031288,831,10000
5,0.6,0,0.25,0,0,10000,0.05,2,0.239470517448857,0.203369434416366,0.187725631768953,0.186522262334537,0.182912154031288,831,10000
5,0.6,0,0.25,0,0,10000,0.05,3,0.197352587244284,0.194945848375451,0.196149217809868,0.206979542719615,0.204572803850782,831,10000
10,0.6,0,0.25,0,0,10000,0.05,1,0.247609942638623,0.195028680688337,0.181644359464627,0.197896749521989,0.177820267686424,1046,10000
10,0.6,0,0.25,0,0,10000,0.05,2,0.247609942638623,0.195028680688337,0.181644359464627,0.197896749521989,0.177820267686424,1046,10000
10,0.6,0,0.25,0,0,10000,0.05,3,0.17208413001912,0.180688336520076,0.198852772466539,0.227533460803059,0.220841300191205,1046,10000
30,0.6,0,0.25,0,0,10000,0.05,1,0.306406685236769,0.198467966573816,0.181754874651811,0.159470752089137,0.153899721448468,1436,10000
30,0.6,0,0.25,0,0,10000,0.05,2,0.306406685236769,0.198467966573816,0.181754874651811,0.159470752089137,0.153899721448468,1436,10000
30,0.6,0,0.25,0,0,10000,0.05,3,0.164345403899721,0.168523676880223,0.206128133704735,0.211699164345404,0.249303621169916,1436,10000
70,0.6,0,0.25,0,0,10000,0.05,1,0.327567567567568,0.206486486486487,0.172432432432432,0.160540540540541,0.132972972972973,1850,10000
70,0.6,0,0.25,0,0,10000,0.05,2,0.327567567567568,0.206486486486487,0.172432432432432,0.160540540540541,0.132972972972973,1850,10000
70,0.6,0,0.25,0,0,10000,0.05,3,0.125945945945946,0.167567567567568,0.207567567567568,0.239459459459459,0.259459459459459,1850,10000
150,0.6,0,0.25,0,0,10000,0.05,1,0.387459054749649,0.201684604585868,0.16050538137576,0.14365933551708,0.106691623771642,2137,10000
150,0.6,0,0.25,0,0,10000,0.05,2,0.387459054749649,0.201684604585868,0.16050538137576,0.14365933551708,0.106691623771642,2137,10000
150,0.6,0,0.25,0,0,10000,0.05,3,0.120729995320543,0.15208235844642,0.211043518951802,0.251286850725316,0.26485727655592,2137,10000
2,0.9,0,0.25,0,0,10000,0.05,1,0.18019801980198,0.186138613861386,0.203960396039604,0.211881188118812,0.217821782178218,505,10000
2,0.9,0,0.25,0,0,10000,0.05,2,0.18019801980198,0.186138613861386,0.203960396039604,0.211881188118812,0.217821782178218,505,10000
2,0.9,0,0.25,0,0,10000,0.05,3,0.168316831683168,0.174257425742574,0.205940594059406,0.217821782178218,0.233663366336634,505,10000
5,0.9,0,0.25,0,0,10000,0.05,1,0.195007800312012,0.213728549141966,0.226209048361934,0.18408736349454,0.180967238689548,641,10000
5,0.9,0,0.25,0,0,10000,0.05,2,0.195007800312012,0.213728549141966,0.226209048361934,0.18408736349454,0.180967238689548,641,10000
5,0.9,0,0.25,0,0,10000,0.05,3,0.14820592823713,0.204368174726989,0.216848673946958,0.218408736349454,0.21216848673947,641,10000
10,0.9,0,0.25,0,0,10000,0.05,1,0.211161387631976,0.211161387631976,0.188536953242836,0.188536953242836,0.200603318250377,663,10000
10,0.9,0,0.25,0,0,10000,0.05,2,0.211161387631976,0.211161387631976,0.188536953242836,0.188536953242836,0.200603318250377,663,10000
10,0.9,0,0.25,0,0,10000,0.05,3,0.155354449472097,0.168929110105581,0.190045248868778,0.22473604826546,0.260935143288084,663,10000
30,0.9,0,0.25,0,0,10000,0.05,1,0.244143033292232,0.224414303329223,0.189889025893958,0.166461159062885,0.175092478421702,811,10000
30,0.9,0,0.25,0,0,10000,0.05,2,0.244143033292232,0.224414303329223,0.189889025893958,0.166461159062885,0.175092478421702,811,10000
30,0.9,0,0.25,0,0,10000,0.05,3,0.151664611590629,0.159062885326757,0.202219482120838,0.231812577065351,0.255240443896424,811,10000
70,0.9,0,0.25,0,0,10000,0.05,1,0.23590333716916,0.212888377445339,0.189873417721519,0.195627157652474,0.165707710011507,869,10000
70,0.9,0,0.25,0,0,10000,0.05,2,0.23590333716916,0.212888377445339,0.189873417721519,0.195627157652474,0.165707710011507,869,10000
70,0.9,0,0.25,0,0,10000,0.05,3,0.11277330264672,0.142692750287687,0.180667433831991,0.262370540851554,0.301495972382048,869,10000
150,0.9,0,0.25,0,0,10000,0.05,1,0.240702479338843,0.212809917355372,0.200413223140496,0.15702479338843,0.18904958677686,968,10000
150,0.9,0,0.25,0,0,10000,0.05,2,0.240702479338843,0.212809917355372,0.200413223140496,0.15702479338843,0.18904958677686,968,10000
150,0.9,0,0.25,0,0,10000,0.05,3,0.0991735537190083,0.151859504132231,0.197314049586777,0.21900826446281,0.332644628099174,968,10000
2,0,0,0.5,0,0,10000,0.05,1,0.185636856368564,0.212737127371274,0.193766937669377,0.18970189701897,0.218157181571816,738,10000
2,0,0,0.5,0,0,10000,0.05,2,0.185636856368564,0.212737127371274,0.193766937669377,0.18970189701897,0.218157181571816,738,10000
2,0,0,0.5,0,0,10000,0.05,3,0.181571815718157,0.214092140921409,0.195121951219512,0.18970189701897,0.219512195121951,738,10000
5,0,0,0.5,0,0,10000,0.05,1,0.203976435935199,0.215022091310751,0.190721649484536,0.193667157584683,0.196612665684831,1358,10000
5,0,0,0.5,0,0,10000,0.05,2,0.203976435935199,0.215022091310751,0.190721649484536,0.193667157584683,0.196612665684831,1358,10000
5,0,0,0.5,0,0,10000,0.05,3,0.186303387334315,0.206921944035346,0.198085419734904,0.199558173784978,0.209131075110457,1358,10000
10,0,0,0.5,0,0,10000,0.05,1,0.234867860187553,0.221653878942882,0.19693094629156,0.182864450127877,0.163682864450128,2346,10000
10,0,0,0.5,0,0,10000,0.05,2,0.234867860187553,0.221653878942882,0.19693094629156,0.182864450127877,0.163682864450128,2346,10000
