nvar,r,d,prop_Hacker,prop_H1,het,iter,alpha,strategy,p1,p2,p3,p4,p5,k_sig,k
1,0,0.7,0,0.1,0,10000,0.05,2,0.537433155080214,0.127450980392157,0.103386809269162,0.125668449197861,0.106060606060606,1122,10000
1,0,0.7,0,0.1,0,10000,0.05,3,0.537433155080214,0.127450980392157,0.103386809269162,0.125668449197861,0.106060606060606,1122,10000
1,0,0.8,0,0.1,0,10000,0.05,1,0.568627450980392,0.134697357203751,0.110826939471441,0.109121909633419,0.0767263427109975,1173,10000
1,0,0.8,0,0.1,0,10000,0.05,2,0.568627450980392,0.134697357203751,0.110826939471441,0.109121909633419,0.0767263427109975,1173,10000
1,0,0.8,0,0.1,0,10000,0.05,3,0.568627450980392,0.134697357203751,0.110826939471441,0.109121909633419,0.0767263427109975,1173,10000
1,0,0.1,0,0.2,0,10000,0.05,1,0.268456375838926,0.182885906040268,0.174496644295302,0.172818791946309,0.201342281879195,596,10000
1,0,0.1,0,0.2,0,10000,0.05,2,0.268456375838926,0.182885906040268,0.174496644295302,0.172818791946309,0.201342281879195,596,10000
1,0,0.1,0,0.2,0,10000,0.05,3,0.268456375838926,0.182885906040268,0.174496644295302,0.172818791946309,0.201342281879195,596,10000
1,0,0.2,0,0.2,0,10000,0.05,1,0.315500685871056,0.175582990397805,0.193415637860082,0.165980795610425,0.149519890260631,729,10000
1,0,0.2,0,0.2,0,10000,0.05,2,0.315500685871056,0.175582990397805,0.193415637860082,0.165980795610425,0.149519890260631,729,10000
1,0,0.2,0,0.2,0,10000,0.05,3,0.315500685871056,0.175582990397805,0.193415637860082,0.165980795610425,0.149519890260631,729,10000
1,0,0.3,0,0.2,0,10000,0.05,1,0.385365853658537,0.202926829268293,0.172682926829268,0.115121951219512,0.12390243902439,1025,10000
1,0,0.3,0,0.2,0,10000,0.05,2,0.385365853658537,0.202926829268293,0.172682926829268,0.115121951219512,0.12390243902439,1025,10000
1,0,0.3,0,0.2,0,10000,0.05,3,0.385365853658537,0.202926829268293,0.172682926829268,0.115121951219512,0.12390243902439,1025,10000
1,0,0.4,0,0.2,0,10000,0.05,1,0.495207667731629,0.151757188498403,0.146166134185304,0.108626198083067,0.0982428115015975,1252,10000
1,0,0.4,0,0.2,0,10000,0.05,2,0.495207667731629,0.151757188498403,0.146166134185304,0.108626198083067,0.0982428115015975,1252,10000
1,0,0.4,0,0.2,0,10000,0.05,3,0.495207667731629,0.151757188498403,0.146166134185304,0.108626198083067,0.0982428115015975,1252,10000
1,0,0.5,0,0.2,0,10000,0.05,1,0.553790613718412,0.137906137184116,0.113357400722022,0.105415162454874,0.0895306859205776,1385,10000
1,0,0.5,0,0.2,0,10000,0.05,2,0.553790613718412,0.137906137184116,0.113357400722022,0.105415162454874,0.0895306859205776,1385,10000
1,0,0.5,0,0.2,0,10000,0.05,3,0.553790613718412,0.137906137184116,0.113357400722022,0.105415162454874,0.0895306859205776,1385,10000
1,0,0.6,0,0.2,0,10000,0.05,1,0.592096876991714,0.133205863607393,0.103250478011472,0.0911408540471638,0.0803059273422562,1569,10000
1,0,0.6,0,0.2,0,10000,0.05,2,0.592096876991714,0.133205863607393,0.103250478011472,0.0911408540471638,0.0803059273422562,1569,10000
1,0,0.6,0,0.2,0,10000,0.05,3,0.592096876991714,0.133205863607393,0.103250478011472,0.0911408540471638,0.0803059273422562,1569,10000
1,0,0.7,0,0.2,0,10000,0.05,1,0.645331767469172,0.108631826189078,0.085143863769818,0.086318261890781,0.0745742806811509,1703,10000
1,0,0.7,0,0.2,0,10000,0.05,2,0.645331767469172,0.108631826189078,0.085143863769818,0.086318261890781,0.0745742806811509,1703,10000
1,0,0.7,0,0.2,0,10000,0.05,3,0.645331767469172,0.108631826189078,0.085143863769818,0.086318261890781,0.0745742806811509,1703,10000
1,0,0.8,0,0.2,0,10000,0.05,1,0.667731629392971,0.0947816826411076,0.0835995740149095,0.0804046858359957,0.073482428115016,1878,10000
1,0,0.8,0,0.2,0,10000,0.05,2,0.667731629392971,0.0947816826411076,0.0835995740149095,0.0804046858359957,0.073482428115016,1878,10000
1,0,0.8,0,0.2,0,10000,0.05,3,0.667731629392971,0.0947816826411076,0.0835995740149095,0.0804046858359957,0.073482428115016,1878,10000
1,0,0.1,0,0.3,0,10000,0.05,1,0.219430485762144,0.192629815745394,0.184254606365159,0.197654941373534,0.206030150753769,597,10000
1,0,0.1,0,0.3,0,10000,0.05,2,0.219430485762144,0.192629815745394,0.184254606365159,0.197654941373534,0.206030150753769,597,10000
1,0,0.1,0,0.3,0,10000,0.05,3,0.219430485762144,0.192629815745394,0.184254606365159,0.197654941373534,0.206030150753769,597,10000
1,0,0.2,0,0.3,0,10000,0.05,1,0.374262101534829,0.194805194805195,0.154663518299882,0.136953955135773,0.139315230224321,847,10000
1,0,0.2,0,0.3,0,10000,0.05,2,0.374262101534829,0.194805194805195,0.154663518299882,0.136953955135773,0.139315230224321,847,10000
1,0,0.2,0,0.3,0,10000,0.05,3,0.374262101534829,0.194805194805195,0.154663518299882,0.136953955135773,0.139315230224321,847,10000
1,0,0.3,0,0.3,0,10000,0.05,1,0.444821731748727,0.169779286926995,0.139219015280136,0.119694397283531,0.126485568760611,1178,10000
1,0,0.3,0,0.3,0,10000,0.05,2,0.444821731748727,0.169779286926995,0.139219015280136,0.119694397283531,0.126485568760611,1178,10000
1,0,0.3,0,0.3,0,10000,0.05,3,0.444821731748727,0.169779286926995,0.139219015280136,0.119694397283531,0.126485568760611,1178,10000
1,0,0.4,0,0.3,0,10000,0.05,1,0.503635161929941,0.1566424322538,0.124256444150694,0.126239259748843,0.0892267019167218,1513,10000
1,0,0.4,0,0.3,0,10000,0.05,2,0.503635161929941,0.1566424322538,0.124256444150694,0.126239259748843,0.0892267019167218,1513,10000
1,0,0.4,0,0.3,0,10000,0.05,3,0.503635161929941,0.1566424322538,0.124256444150694,0.126239259748843,0.0892267019167218,1513,10000
1,0,0.5,0,0.3,0,10000,0.05,1,0.596958174904943,0.135795763172189,0.0994024986420424,0.091254752851711,0.0765888104291146,1841,10000
1,0,0.5,0,0.3,0,10000,0.05,2,0.596958174904943,0.135795763172189,0.0994024986420424,0.091254752851711,0.0765888104291146,1841,10000
1,0,0.5,0,0.3,0,10000,0.05,3,0.596958174904943,0.135795763172189,0.0994024986420424,0.091254752851711,0.0765888104291146,1841,10000
1,0,0.6,0,0.3,0,10000,0.05,1,0.636194029850746,0.138992537313433,0.0909514925373134,0.0652985074626866,0.0685634328358209,2144,10000
1,0,0.6,0,0.3,0,10000,0.05,2,0.636194029850746,0.138992537313433,0.0909514925373134,0.0652985074626866,0.0685634328358209,2144,10000
1,0,0.6,0,0.3,0,10000,0.05,3,0.636194029850746,0.138992537313433,0.0909514925373134,0.0652985074626866,0.0685634328358209,2144,10000
1,0,0.7,0,0.3,0,10000,0.05,1,0.667776852622814,0.109075770191507,0.0836802664446295,0.0774354704412989,0.0620316402997502,2402,10000
1,0,0.7,0,0.3,0,10000,0.05,2,0.667776852622814,0.109075770191507,0.0836802664446295,0.0774354704412989,0.0620316402997502,2402,10000
1,0,0.7,0,0.3,0,10000,0.05,3,0.667776852622814,0.109075770191507,0.0836802664446295,0.0774354704412989,0.0620316402997502,2402,10000
1,0,0.8,0,0.3,0,10000,0.05,1,0.704982346018046,0.105531581012162,0.0714005492349941,0.0596312279325226,0.0584542958022754,2549,10000
1,0,0.8,0,0.3,0,10000,0.05,2,0.704982346018046,0.105531581012162,0.0714005492349941,0.0596312279325226,0.0584542958022754,2549,10000
1,0,0.8,0,0.3,0,10000,0.05,3,0.704982346018046,0.105531581012162,0.0714005492349941,0.0596312279325226,0.0584542958022754,2549,10000
1,0,0.1,0,0.5,0,10000,0.05,1,0.285087719298246,0.203216374269006,0.187134502923977,0.156432748538012,0.16812865497076,684,10000
1,0,0.1,0,0.5,0,10000,0.05,2,0.285087719298246,0.203216374269006,0.187134502923977,0.156432748538012,0.16812865497076,684,10000
1,0,0.1,0,0.5,0,10000,0.05,3,0.285087719298246,0.203216374269006,0.187134502923977,0.156432748538012,0.16812865497076,684,10000
1,0,0.2,0,0.5,0,10000,0.05,1,0.421328671328671,0.171328671328671,0.145979020979021,0.132867132867133,0.128496503496504,1144,10000
1,0,0.2,0,0.5,0,10000,0.05,2,0.421328671328671,0.171328671328671,0.145979020979021,0.132867132867133,0.128496503496504,1144,10000
1,0,0.2,0,0.5,0,10000,0.05,3,0.421328671328671,0.171328671328671,0.145979020979021,0.132867132867133,0.128496503496504,1144,10000
1,0,0.3,0,0.5,0,10000,0.05,1,0.513888888888889,0.143333333333333,0.133888888888889,0.113888888888889,0.095,1800,10000
1,0,0.3,0,0.5,0,10000,0.05,2,0.513888888888889,0.143333333333333,0.133888888888889,0.113888888888889,0.095,1800,10000
