nvar,r,d,het,iter,alpha,strategy,p1,p2,p3,p4,p5
57,0.1,0,0,10000,0.05,2,44.8764769065521,26.1331901181525,15.4564983888292,8.1203007518797,5.41353383458647
57,0.1,0,0,10000,0.05,3,19.484425349087,20.5477980665951,19.3984962406015,19.5488721804511,21.0204081632653
25,0,0,0,10000,0.05,1,31.2329141607436,24.0295243302351,18.5483870967742,14.406779661017,11.7823947512302
25,0,0,0,10000,0.05,2,31.2329141607436,24.0295243302351,18.5483870967742,14.406779661017,11.7823947512302
25,0,0,0,10000,0.05,3,20.0109349371241,19.8605795516676,19.5462001093494,19.7922361946419,20.7900492072171
59,0.1,0,0,10000,0.05,1,45.1930274836916,25.9544433750401,14.8112501336755,8.672869211849,5.36840979574377
59,0.1,0,0,10000,0.05,2,45.1930274836916,25.9544433750401,14.8112501336755,8.672869211849,5.36840979574377
59,0.1,0,0,10000,0.05,3,18.9712330232061,19.9123088439739,20.9282429686665,19.7518981927067,20.4363169714469
61,0.1,0,0,10000,0.05,1,46.512368616626,25.9581696570761,14.0991612697739,8.7376579254698,4.69264253105425
61,0.1,0,0,10000,0.05,2,46.512368616626,25.9581696570761,14.0991612697739,8.7376579254698,4.69264253105425
61,0.1,0,0,10000,0.05,3,19.4606646140779,20.3312453551332,19.7260855717167,20.6709841809109,19.8110202781612
63,0.1,0,0,10000,0.05,1,47.3878627968338,25.0976253298153,14.3746701846966,8.53825857519789,4.60158311345646
63,0.1,0,0,10000,0.05,2,47.3878627968338,25.0976253298153,14.3746701846966,8.53825857519789,4.60158311345646
63,0.1,0,0,10000,0.05,3,19.2612137203166,19.9683377308707,19.7255936675462,19.6728232189974,21.3720316622691
65,0.1,0,0,10000,0.05,1,48.2468147836159,25.7976203011477,14.2781931136148,7.40233758028851,4.27503422133305
65,0.1,0,0,10000,0.05,2,48.2468147836159,25.7976203011477,14.2781931136148,7.40233758028851,4.27503422133305
65,0.1,0,0,10000,0.05,3,19.4377171738444,19.4377171738444,20.9645151100347,20.0589659892598,20.1010845530167
67,0.1,0,0,10000,0.05,1,50.2247778358599,24.6732880292734,13.9466806063774,7.20334553058024,3.95190799790904
