prop_Hacker,prop_H1,nmin,nmax,stepsize,d,het,p1,p2,p3,p4,p5,k_sig,k
0.1,0,22,444,1,0,0,0.12004662004662,0.123543123543124,0.131701631701632,0.206293706293706,0.418414918414918,858,10000
0.25,0,22,444,1,0,0,0.0888183980967486,0.0880253766851705,0.0904044409199048,0.181601903251388,0.551149881046788,1261,10000
0.5,0,22,444,1,0,0,0.0478858889454916,0.0529801324503311,0.0718288334182374,0.173713703515028,0.653591441670912,1963,10000
0.75,0,22,444,1,0,0,0.0393013100436681,0.0352983988355167,0.0673216885007278,0.175400291120815,0.682678311499272,2748,10000
1,0,22,444,1,0,0,0.0294538175579068,0.0277380611953103,0.0571918787532171,0.174149270803546,0.71146697169002,3497,10000
0.1,0,50,444,1,0,0,0.134193548387097,0.132903225806452,0.148387096774194,0.167741935483871,0.416774193548387,775,10000
0.25,0,50,444,1,0,0,0.0980392156862745,0.0837789661319073,0.0855614973262032,0.179144385026738,0.553475935828877,1122,10000
0.5,0,50,444,1,0,0,0.0553290623179965,0.0588235294117647,0.0675596971461852,0.145602795573675,0.672684915550379,1717,10000
0.75,0,50,444,1,0,0,0.0398096062310688,0.0419731717871052,0.0424058848983124,0.141929900475984,0.733881436607529,2311,10000
1,0,50,444,1,0,0,0.032312925170068,0.0360544217687075,0.0346938775510204,0.135714285714286,0.761224489795918,2940,10000
0.1,0,177,444,1,0,0,0.177496038034865,0.166402535657686,0.133122028526149,0.198098256735341,0.324881141045959,631,10000
0.25,0,177,444,1,0,0,0.130272952853598,0.124069478908189,0.117866004962779,0.155086848635236,0.472704714640199,806,10000
0.5,0,177,444,1,0,0,0.0947653429602888,0.0893501805054152,0.101985559566787,0.108303249097473,0.605595667870036,1108,10000
0.75,0,177,444,1,0,0,0.0758524704244955,0.0570633263743911,0.0765483646485734,0.107863604732081,0.682672233820459,1437,10000
1,0,177,444,1,0,0,0.0630985915492958,0.0490140845070423,0.0614084507042254,0.0946478873239437,0.731830985915493,1775,10000
0.1,0,8,1063,1,0,0,0.110294117647059,0.113445378151261,0.140756302521008,0.19327731092437,0.442226890756302,952,10000
0.25,0,8,1063,1,0,0,0.0666666666666667,0.0772585669781932,0.110280373831776,0.18816199376947,0.557632398753894,1605,10000
0.5,0,8,1063,1,0,0,0.0387715930902111,0.0491362763915547,0.0963531669865643,0.178119001919386,0.637619961612284,2605,10000
0.75,0,8,1063,1,0,0,0.0303440801950691,0.0387428881062043,0.0774857762124086,0.18775399620699,0.665673259279328,3691,10000
1,0,8,1063,1,0,0,0.0203824332843034,0.0308888421937382,0.0735448623660433,0.184492540449674,0.690691321706241,4759,10000
0.1,0,22,1063,1,0,0,0.12372304199773,0.0862656072644722,0.120317820658343,0.194097616345062,0.475595913734393,881,10000
0.25,0,22,1063,1,0,0,0.0820793433652531,0.0547195622435021,0.0882352941176471,0.166894664842681,0.608071135430917,1462,10000
0.5,0,22,1063,1,0,0,0.0466522678185745,0.0406047516198704,0.0660907127429806,0.147732181425486,0.698920086393089,2315,10000
0.75,0,22,1063,1,0,0,0.0352941176470588,0.0287925696594427,0.0513931888544892,0.14922600619195,0.735294117647059,3230,10000
1,0,22,1063,1,0,0,0.0245354930919486,0.0231062410671748,0.0476417341591234,0.145307289185326,0.759409242496427,4198,10000
0.1,0,50,1063,1,0,0,0.126353790613718,0.127557160048135,0.120336943441637,0.156438026474128,0.469314079422383,831,10000
0.25,0,50,1063,1,0,0,0.0776846915460777,0.0753998476770754,0.0814927646610815,0.140898705255141,0.624523990860625,1313,10000
0.5,0,50,1063,1,0,0,0.0424915499758571,0.0424915499758571,0.0507001448575567,0.125060357315307,0.739256397875423,2071,10000
0.75,0,50,1063,1,0,0,0.031523642732049,0.036077057793345,0.0318739054290718,0.113134851138354,0.78739054290718,2855,10000
1,0,50,1063,1,0,0,0.025654874426141,0.0286254388333783,0.0275452335943829,0.108020523899541,0.810153929246557,3703,10000
0.1,0,177,1063,1,0,0,0.166419019316493,0.114413075780089,0.150074294205052,0.12184249628529,0.447251114413076,673,10000
0.25,0,177,1063,1,0,0,0.100890207715134,0.0939663699307616,0.105835806132542,0.0999010880316518,0.599406528189911,1011,10000
0.5,0,177,1063,1,0,0,0.0727040816326531,0.0599489795918367,0.0727040816326531,0.0880102040816327,0.706632653061225,1568,10000
0.75,0,177,1063,1,0,0,0.0522030651340996,0.0416666666666667,0.0502873563218391,0.0737547892720307,0.782088122605364,2088,10000
1,0,177,1063,1,0,0,0.0419161676646707,0.032559880239521,0.0407934131736527,0.063248502994012,0.821482035928144,2672,10000
0.1,0,444,1063,1,0,0,0.1671826625387,0.142414860681115,0.140866873065015,0.188854489164087,0.360681114551084,646,10000
0.25,0,444,1063,1,0,0,0.128236744759556,0.120838471023428,0.114673242909988,0.124537607891492,0.511713933415536,811,10000
0.5,0,444,1063,1,0,0,0.082010582010582,0.0890652557319224,0.0961199294532628,0.0873015873015873,0.645502645502646,1134,10000
0.75,0,444,1063,1,0,0,0.065843621399177,0.0672153635116598,0.0672153635116598,0.0644718792866941,0.735253772290809,1458,10000
1,0,444,1063,1,0,0,0.0582417582417582,0.0516483516483516,0.0587912087912088,0.0527472527472528,0.778571428571429,1820,10000
0.1,0,8,22,5,0,0,0.189530685920578,0.209386281588448,0.187725631768953,0.196750902527076,0.216606498194946,554,10000
0.25,0,8,22,5,0,0,0.180882352941176,0.191176470588235,0.198529411764706,0.192647058823529,0.236764705882353,680,10000
0.5,0,8,22,5,0,0,0.140963855421687,0.18433734939759,0.219277108433735,0.212048192771084,0.243373493975904,830,10000
0.75,0,8,22,5,0,0,0.12375249500998,0.191616766467066,0.192614770459082,0.218562874251497,0.273453093812375,1002,10000
