"","nvar","r","d","het","iter","alpha","strategy","p1","p2","p3","p4","p5"
"105",5,0.5,0.5,0.2,1000,0.05,3,55.6771545827633,13.5430916552668,10.5335157318741,8.48153214774282,9.30232558139535
"106",10,0.5,0.5,0.2,1000,0.05,1,70.4856787048568,10.4607721046077,5.72851805728518,4.60772104607721,3.48692403486924
"107",10,0.5,0.5,0.2,1000,0.05,2,70.4856787048568,10.4607721046077,5.72851805728518,4.60772104607721,3.48692403486924
"108",10,0.5,0.5,0.2,1000,0.05,3,49.439601494396,16.5628891656289,11.706102117061,10.2117061021171,8.7173100871731
"109",2,0,0.1,0.4,1000,0.05,1,62.7906976744186,13.2558139534884,6.04651162790698,6.74418604651163,7.90697674418605
"110",2,0,0.1,0.4,1000,0.05,2,62.7906976744186,13.2558139534884,6.04651162790698,6.74418604651163,7.90697674418605
"111",2,0,0.1,0.4,1000,0.05,3,57.2093023255814,14.6511627906977,8.37209302325581,8.6046511627907,8.13953488372093
"112",5,0,0.1,0.4,1000,0.05,1,62.5806451612903,14.1935483870968,9.83870967741936,4.83870967741935,6.61290322580645
"113",5,0,0.1,0.4,1000,0.05,2,62.5806451612903,14.1935483870968,9.83870967741936,4.83870967741935,6.61290322580645
"114",5,0,0.1,0.4,1000,0.05,3,47.0967741935484,18.5483870967742,14.3548387096774,8.2258064516129,10.6451612903226
"115",10,0,0.1,0.4,1000,0.05,1,65.4046997389034,12.402088772846,6.78851174934726,7.18015665796345,5.74412532637076
"116",10,0,0.1,0.4,1000,0.05,2,65.4046997389034,12.402088772846,6.78851174934726,7.18015665796345,5.74412532637076
"117",10,0,0.1,0.4,1000,0.05,3,45.5613577023499,18.1462140992167,12.0104438642298,12.1409921671018,10.313315926893
"118",2,0.5,0.1,0.4,1000,0.05,1,60.880195599022,15.8924205378973,7.09046454767726,7.8239608801956,4.64547677261614
"119",2,0.5,0.1,0.4,1000,0.05,2,60.880195599022,15.8924205378973,7.09046454767726,7.8239608801956,4.64547677261614
"120",2,0.5,0.1,0.4,1000,0.05,3,55.2567237163814,17.1149144254279,10.0244498777506,9.04645476772616,5.8679706601467
"121",5,0.5,0.1,0.4,1000,0.05,1,64.8648648648649,11.003861003861,9.07335907335907,6.37065637065637,4.82625482625483
"122",5,0.5,0.1,0.4,1000,0.05,2,64.8648648648649,11.003861003861,9.07335907335907,6.37065637065637,4.82625482625483
"123",5,0.5,0.1,0.4,1000,0.05,3,51.7374517374517,13.7065637065637,12.3552123552124,10.03861003861,8.88030888030888
"124",10,0.5,0.1,0.4,1000,0.05,1,61.7322834645669,13.3858267716535,10.2362204724409,7.08661417322835,5.03937007874016
"125",10,0.5,0.1,0.4,1000,0.05,2,61.7322834645669,13.3858267716535,10.2362204724409,7.08661417322835,5.03937007874016
"126",10,0.5,0.1,0.4,1000,0.05,3,41.8897637795276,16.6929133858268,16.0629921259843,12.755905511811,10.7086614173228
"127",2,0,0.2,0.4,1000,0.05,1,59.0631364562118,12.8309572301426,8.35030549898167,8.14663951120163,7.33197556008147
"128",2,0,0.2,0.4,1000,0.05,2,59.0631364562118,12.8309572301426,8.35030549898167,8.14663951120163,7.33197556008147
"129",2,0,0.2,0.4,1000,0.05,3,50.9164969450102,16.0896130346232,10.9979633401222,9.77596741344195,8.35030549898167
"130",5,0,0.2,0.4,1000,0.05,1,63.1741140215716,11.864406779661,8.93682588597843,6.47149460708783,6.62557781201849
"131",5,0,0.2,0.4,1000,0.05,2,63.1741140215716,11.864406779661,8.93682588597843,6.47149460708783,6.62557781201849
"132",5,0,0.2,0.4,1000,0.05,3,52.5423728813559,14.175654853621,12.0184899845917,8.78274268104777,10.1694915254237
"133",10,0,0.2,0.4,1000,0.05,1,68.1528662420382,13.2484076433121,6.4968152866242,4.84076433121019,4.45859872611465
"134",10,0,0.2,0.4,1000,0.05,2,68.1528662420382,13.2484076433121,6.4968152866242,4.84076433121019,4.45859872611465
"135",10,0,0.2,0.4,1000,0.05,3,49.0445859872611,17.4522292993631,12.7388535031847,8.6624203821656,10.4458598726115
"136",2,0.5,0.2,0.4,1000,0.05,1,62.2327790973872,12.8266033254157,9.02612826603325,6.41330166270784,4.98812351543943
"137",2,0.5,0.2,0.4,1000,0.05,2,62.2327790973872,12.8266033254157,9.02612826603325,6.41330166270784,4.98812351543943
"138",2,0.5,0.2,0.4,1000,0.05,3,56.5320665083135,13.7767220902613,11.1638954869359,8.07600950118765,6.17577197149644
"139",5,0.5,0.2,0.4,1000,0.05,1,63.3507853403141,11.8673647469459,9.07504363001745,6.63176265270506,5.58464223385689
"140",5,0.5,0.2,0.4,1000,0.05,2,63.3507853403141,11.8673647469459,9.07504363001745,6.63176265270506,5.58464223385689
"141",5,0.5,0.2,0.4,1000,0.05,3,48.1675392670157,12.739965095986,13.9616055846422,11.3438045375218,11.1692844677138
"142",10,0.5,0.2,0.4,1000,0.05,1,67.2077922077922,10.0649350649351,8.27922077922078,7.46753246753247,3.57142857142857
"143",10,0.5,0.2,0.4,1000,0.05,2,67.2077922077922,10.0649350649351,8.27922077922078,7.46753246753247,3.57142857142857
"144",10,0.5,0.2,0.4,1000,0.05,3,45.1298701298701,15.0974025974026,12.6623376623377,13.474025974026,11.3636363636364
"145",2,0,0.5,0.4,1000,0.05,1,68.3848797250859,8.07560137457045,7.21649484536082,4.98281786941581,5.32646048109966
